day,month,Temperature,RH,Ws,Rain,FFMC,DC,ISI,BUI,Classes_mode,FWI_mean
1,6,29,57,18,0.0,65.7,7.6,1.3,3.4,not fire,0.5
2,6,29,61,13,1.3,64.4,7.6,1.0,3.9,not fire,0.4
5,6,27,77,16,0.0,64.8,14.2,1.2,3.9,not fire,0.5
6,6,31,67,14,0.0,82.6,22.2,3.1,7.0,fire,2.5
7,6,33,54,13,0.0,88.2,30.5,6.4,10.9,fire,7.2
8,6,30,73,15,0.0,86.6,38.3,5.6,13.5,fire,7.1
9,6,25,88,13,0.2,52.9,38.8,0.4,10.5,not fire,0.3
10,6,28,79,12,0.0,73.2,46.3,1.3,12.6,not fire,0.9
11,6,31,65,14,0.0,84.5,54.3,4.0,15.8,fire,5.6
12,6,26,81,19,0.0,84.0,61.4,4.8,17.7,fire,7.1
13,6,27,84,21,1.2,50.0,17.0,0.5,6.7,not fire,0.2
14,6,30,78,20,0.5,59.0,7.8,1.0,4.4,not fire,0.4
15,6,28,80,17,3.1,49.4,7.4,0.4,3.0,not fire,0.1
16,6,29,89,13,0.7,36.1,7.6,0.0,2.2,not fire,0.0
17,6,30,89,16,0.6,37.3,7.8,0.0,1.6,not fire,0.0
18,6,31,78,14,0.3,56.9,8.0,0.7,2.4,not fire,0.2
19,6,31,55,16,0.1,79.9,16.0,2.5,5.3,not fire,1.4
20,6,30,80,16,0.4,59.8,27.1,0.9,5.1,not fire,0.4
21,6,30,78,14,0.0,81.0,31.6,2.6,8.4,fire,2.2
22,6,31,67,17,0.1,79.1,39.5,2.4,9.7,not fire,2.3
23,6,32,62,18,0.1,81.4,47.7,3.3,11.5,fire,3.8
24,6,32,66,17,0.0,85.9,55.8,5.6,14.9,fire,7.5
25,6,31,64,15,0.0,86.7,63.8,5.7,18.3,fire,8.4
26,6,31,64,18,0.0,86.8,71.8,6.7,21.6,fire,10.6
27,6,34,53,18,0.0,89.0,80.3,9.2,25.8,fire,15.0
28,6,32,55,14,0.0,89.1,88.5,7.6,29.7,fire,13.9
29,6,32,47,13,0.3,79.9,84.4,2.2,23.8,not fire,3.9
30,6,33,50,14,0.0,88.7,92.8,7.2,28.3,fire,12.9
1,7,29,68,19,1.0,59.9,8.6,1.1,2.9,not fire,0.4
2,7,27,75,19,1.2,55.7,8.3,0.8,2.8,not fire,0.3
3,7,32,76,20,0.7,63.1,9.2,1.3,3.0,not fire,0.5
4,7,33,78,17,0.0,80.1,18.5,2.7,5.7,not fire,1.7
5,7,33,66,14,0.0,85.9,27.9,4.8,9.1,fire,4.9
6,7,32,63,14,0.0,87.0,37.0,5.6,12.5,fire,6.8
7,7,35,64,18,0.2,80.0,40.4,2.8,12.1,not fire,3.2
8,7,33,68,19,0.0,85.6,49.8,6.0,15.4,fire,8.0
9,7,32,68,14,1.4,66.6,9.2,1.1,7.4,not fire,0.6
10,7,33,69,13,0.7,66.6,9.3,1.1,5.8,not fire,0.5
11,7,33,76,14,0.0,81.1,18.7,2.6,8.1,not fire,2.2
12,7,31,75,13,0.1,75.1,27.7,1.5,9.2,not fire,0.9
13,7,34,81,15,0.0,81.8,37.2,3.0,11.7,not fire,3.4
14,7,34,61,13,0.6,73.9,22.9,1.4,8.4,not fire,0.8
15,7,30,80,19,0.4,60.7,17.0,1.1,5.9,not fire,0.5
16,7,28,76,21,0.0,72.6,25.5,0.7,8.3,not fire,0.4
17,7,29,70,14,0.0,82.8,34.1,3.2,11.1,fire,3.6
18,7,31,68,14,0.0,85.4,43.1,4.6,14.2,fire,6.0
19,7,35,59,17,0.0,88.1,52.8,7.7,18.2,fire,10.9
20,7,33,65,15,0.1,81.4,62.1,2.8,16.5,fire,4.0
21,7,33,70,17,0.0,85.4,71.5,5.2,22.4,fire,8.8
22,7,28,79,18,0.1,73.4,79.9,1.8,21.7,not fire,2.8
23,7,27,66,22,0.4,68.2,71.3,1.8,15.4,not fire,2.1
24,7,28,78,16,0.1,70.0,79.7,1.4,14.7,not fire,1.3
25,7,31,65,18,0.0,84.3,88.7,4.8,18.5,fire,7.3
26,7,36,53,19,0.0,89.2,98.6,10.0,23.9,fire,15.3
27,7,36,48,13,0.0,90.3,108.5,8.7,29.4,fire,15.3
28,7,33,76,15,0.0,86.5,117.8,5.6,32.1,fire,11.3
